Name,Rank,Level,Link,Gold,Silver,Bronze,Points,Joined,Country,Total Competitions,Total Datasets,Total Codes,Total Discussions,Highest Rank,Current Rank,Current Level
Student,1956,expert,https://www.kaggle.com/mecha027ankitsingh,0,2,4,52,2 years ago,"Jamshedpur, Jharkhand, India",10.0,4.0,7,93,900.0,1969.0,Notebooks Expert
YashSharma,1957,expert,https://www.kaggle.com/yashsharmabharatpur,0,1,12,52,2 years ago,"Bharatpur, Rajasthan, India",,3.0,14,231,502.0,2000.0,Datasets Expert
arelius,1958,expert,https://www.kaggle.com/clarksaben,0,0,8,52,2 years ago,"Centreville, Virginia, United States",4.0,3.0,14,30,1484.0,1970.0,Notebooks Expert
Sayel Abualigah,1959,expert,https://www.kaggle.com/sayelabualigah,0,0,6,52,2 years ago,"Dubai, Dubai, United Arab Emirates",,2.0,7,5,1707.0,1971.0,Notebooks Expert
Kalai Kumar,1960,expert,https://www.kaggle.com/kalaikumarr,0,2,5,52,a year ago,"Erode, Tamil Nadu, India",6.0,2.0,9,53,820.0,1973.0,Notebooks Expert
mahsa younesi,1961,expert,https://www.kaggle.com/mahsayounesi,0,3,2,52,a year ago,"Alanya, Antalya, Turkey",,,5,21,969.0,1974.0,Notebooks Expert
Mahesh Chauhan,1962,expert,https://www.kaggle.com/maheshchauhan09,0,0,6,52,4 months ago,,,1.0,6,63,1706.0,1922.0,Notebooks Expert
JQ,1963,expert,https://www.kaggle.com/joelqv,0,1,6,51,8 years ago,"Barcelona, Catalonia, Spain",7.0,2.0,13,28,1246.0,1978.0,Notebooks Expert
Sylas,1964,expert,https://www.kaggle.com/jsylas,1,6,4,51,8 years ago,"Denver, Colorado, United States",34.0,,13,23,192.0,2009.0,Competitions Expert
Sergey Bryansky,1965,expert,https://www.kaggle.com/sggpls,4,1,1,51,7 years ago,"Moscow, Russia",55.0,4.0,6,278,157.0,1980.0,Competitions Master
Rabindra,1966,expert,https://www.kaggle.com/rnepal2,0,0,9,51,5 years ago,"Kalamazoo, Michigan, United States",12.0,,12,15,1281.0,2010.0,Notebooks Expert
Shiva Manhar,1967,expert,https://www.kaggle.com/shivamanhar,0,0,8,51,5 years ago,"Raipur, Chhattisgarh, India",3.0,8.0,46,29,1793.0,1984.0,Notebooks Expert
Tolga Kaplan,1968,expert,https://www.kaggle.com/darkside92,1,4,1,51,4 years ago,"Istanbul, Istanbul, Turkey",1.0,2.0,6,54,286.0,2012.0,Notebooks Expert
