Name,Rank,Level,Link,Gold,Silver,Bronze,Points,Joined,Country,Total Competitions,Total Datasets,Total Codes,Total Discussions,Highest Rank,Current Rank,Current Level
Sonia Sharma,1098,expert,https://www.kaggle.com/sonmou,0,4,13,92,5 years ago,"Paris, Île-de-France, France",1.0,,36,156,561.0,1123.0,Notebooks Expert
Mehdi GASMI,1099,master,https://www.kaggle.com/servietsky,0,10,11,92,4 years ago,"El Djazair, Algiers Province, Algeria",13.0,2.0,24,131,152.0,1102.0,Notebooks Master
Simge Erek,1100,expert,https://www.kaggle.com/simgeerek,0,6,1,92,4 years ago,,2.0,1.0,8,47,551.0,1103.0,Notebooks Expert
Tatsuya Fujii,1101,expert,https://www.kaggle.com/tatsuyafujii,0,3,3,92,3 years ago,,7.0,,7,23,907.0,1124.0,Notebooks Expert
Gulshan Mishra,1102,expert,https://www.kaggle.com/gulshanmishra,1,1,3,92,3 years ago,"Madhubani, Bihar, India",6.0,,8,84,484.0,1125.0,Notebooks Expert
Robert Turro,1103,expert,https://www.kaggle.com/robertturro,0,2,7,92,3 years ago,,11.0,,16,22,1002.0,1105.0,Notebooks Expert
Akash Dey,1104,expert,https://www.kaggle.com/aimack,1,4,0,92,3 years ago,"Kolkata, West Bengal, India",,3.0,5,202,449.0,1107.0,Notebooks Expert
Abheeshth Mishra,1105,master,https://www.kaggle.com/abheeshthmishra,1,10,1,92,3 years ago,"Lucknow, Uttar Pradesh, India",6.0,2.0,12,337,257.0,1108.0,Notebooks Master
vinitshah0110,1106,expert,https://www.kaggle.com/vinitshah0110,0,2,8,92,2 years ago,"Pune, Maharashtra, India",2.0,4.0,10,88,,1006.0,Datasets Expert
Lasal Jayawardena,1107,expert,https://www.kaggle.com/lasaljaywardena,0,2,13,92,2 years ago,"Colombo, Western Province, Sri Lanka",4.0,15.0,17,137,477.0,1111.0,Datasets Expert
Sandra P,1108,expert,https://www.kaggle.com/sandraphari,0,3,10,92,2 years ago,"Thiruvananthapuram, Kerala, India",,3.0,13,190,407.0,1127.0,Datasets Expert
Manav Trivedi,1109,expert,https://www.kaggle.com/manavtrivedi,0,1,4,92,7 months ago,"Jersey City, New Jersey, United States",7.0,,24,1,1047.0,1113.0,Notebooks Expert
Subhadeep Debnath,1110,expert,https://www.kaggle.com/subhadeepdebnath,0,2,4,92,5 months ago,"Paderborn, North Rhine-Westphalia, Germany",3.0,,6,80,1038.0,1046.0,Notebooks Expert
Stas Sl,1111,expert,https://www.kaggle.com/stassl,1,1,4,91,8 years ago,,7.0,2.0,12,171,659.0,1117.0,Competitions Master
Yih-Dar SHIEH,1112,expert,https://www.kaggle.com/yihdarshieh,0,8,8,91,5 years ago,"Paris, Île-de-France, France",8.0,15.0,23,471,225.0,1121.0,Competitions Expert
Roland Abel,1113,expert,https://www.kaggle.com/ted0071,0,1,8,91,4 years ago,"Wuppertal, North Rhine-Westphalia, Germany",20.0,2.0,20,14,1015.0,1134.0,Notebooks Expert
Deep Contractor,1114,expert,https://www.kaggle.com/deepcontractor,0,5,2,91,3 years ago,"Jaipur, Rajasthan, India",3.0,30.0,7,304,925.0,1136.0,Datasets Grandmaster
HariKrishna C,1115,expert,https://www.kaggle.com/harikrishna9,0,9,1,91,3 years ago,"Vijayawada, Andhra Pradesh, India",,2.0,10,46,175.0,1139.0,Notebooks Master
Nishant Dhingra,1116,expert,https://www.kaggle.com/nishantdhingra,0,3,9,91,2 years ago,"Bengaluru, Karnataka, India",7.0,3.0,21,60,590.0,1126.0,Notebooks Expert
adoum taiga,1117,expert,https://www.kaggle.com/adoumtaiga,0,1,6,91,8 months ago,"Maroua, Far North, Cameroon",2.0,5.0,7,29,988.0,1129.0,Datasets Expert
Evan Gower,1118,expert,https://www.kaggle.com/evangower,0,2,8,91,7 months ago,"Greenville, South Carolina, United States",1.0,13.0,10,73,,1010.0,Datasets Expert
space_hedgehog,1119,expert,https://www.kaggle.com/spacehedgehog,0,0,7,91,25 days ago,"Hwaseong-si, Gyeonggi-do, South Korea",1.0,,8,65,1038.0,1047.0,Notebooks Expert
timesler,1120,expert,https://www.kaggle.com/timesler,4,1,1,90,8 years ago,"Melbourne, Victoria, Australia",11.0,4.0,7,39,91.0,1144.0,Competitions Expert
Shruti Saxena,1121,expert,https://www.kaggle.com/shrutisaxena,0,1,14,90,8 years ago,"Bengaluru, Karnataka, India",11.0,6.0,24,100,701.0,1145.0,Datasets Expert
Sugam Khetrapal,1122,expert,https://www.kaggle.com/sugamkhetrapal,0,0,13,90,8 years ago,"Gurugram, Haryana, India",6.0,,39,68,685.0,1130.0,Notebooks Expert
Vijayendra D,1123,expert,https://www.kaggle.com/vijayendrad,0,0,8,90,5 years ago,"New Delhi, Delhi, India",6.0,4.0,19,29,1091.0,1120.0,Notebooks Expert
Leigh,1124,master,https://www.kaggle.com/leighplt,3,8,9,90,5 years ago,"Enerhodar, Zaporizhia Oblast, Ukraine",51.0,6.0,22,151,119.0,1132.0,Notebooks Master
Marco Gorelli,1125,expert,https://www.kaggle.com/marcogorelli,2,0,3,90,5 years ago,"London, England, United Kingdom",25.0,2.0,31,429,1054.0,1133.0,Competitions Expert
milan,1126,expert,https://www.kaggle.com/milan400,1,5,9,90,4 years ago,"Kathmandu, Central Development Region, Nepal",7.0,37.0,103,111,207.0,1150.0,Datasets Expert
nagiss,1127,expert,https://www.kaggle.com/nagiss,2,4,6,90,4 years ago,"Tokyo, Tokyo, Japan",15.0,2.0,12,20,199.0,1151.0,Competitions Grandmaster
manikanth,1128,expert,https://www.kaggle.com/manikanthgoud,0,2,3,90,4 years ago,"Bengaluru, Karnataka, India",3.0,,13,145,975.0,1135.0,Notebooks Expert
Robert Sizemore,1129,expert,https://www.kaggle.com/rsizem2,0,2,10,90,4 years ago,,8.0,3.0,21,12,1048.0,1050.0,Notebooks Expert
Igor Kuivjogi Fernandes,1130,expert,https://www.kaggle.com/igorkf,0,3,7,90,3 years ago,,31.0,2.0,19,185,744.0,1137.0,Notebooks Expert
Akhilesh D. Kapse,1131,expert,https://www.kaggle.com/akhileshdkapse,0,4,15,90,3 years ago,"Nagpur, Maharashtra, India",9.0,22.0,36,140,292.0,1140.0,Datasets Expert
Cem Bıkmaz,1132,expert,https://www.kaggle.com/cembkmaz,0,0,12,90,2 years ago,"İstanbul, İstanbul, Turkey",4.0,2.0,17,27,691.0,1152.0,Notebooks Expert
Cornelius Kristianto,1133,expert,https://www.kaggle.com/corneliuskristianto,1,1,5,90,a year ago,"Gunung Putri, West Java, Indonesia",3.0,2.0,10,180,673.0,1153.0,Notebooks Expert
mihir paghdal,1134,expert,https://www.kaggle.com/mihirpaghdal,0,3,4,90,a year ago,"Mumbai, Maharashtra, India",2.0,1.0,7,71,661.0,1141.0,Notebooks Expert
immu123,1135,expert,https://www.kaggle.com/immu123,0,2,4,90,a year ago,"Delhi, Delhi, India",1.0,5.0,7,119,1086.0,1142.0,Notebooks Expert
Supritha Halesh,1136,expert,https://www.kaggle.com/suprithahalesh,0,0,13,90,10 months ago,,,,26,36,738.0,1154.0,Notebooks Expert
Raja CSP,1137,expert,https://www.kaggle.com/rajacsp,1,3,8,89,7 years ago,"Toronto, Ontario, Canada",,12.0,42,43,197.0,1146.0,Datasets Expert
JohnAkwei,1138,expert,https://www.kaggle.com/johnakwei,0,0,13,89,6 years ago,"Washington, District of Columbia, United States",1.0,,18,3,994.0,1158.0,Notebooks Expert
Byfone,1139,expert,https://www.kaggle.com/byfone,1,2,7,89,6 years ago,"Vilnius, Vilnius County, Lithuania",44.0,1.0,19,10,746.0,1159.0,Competitions Expert
Gaurav Rawat,1140,expert,https://www.kaggle.com/gauravbrills,0,2,8,89,6 years ago,"Toronto, Ontario, Canada",12.0,36.0,21,351,861.0,1147.0,Competitions Expert
igjit,1141,expert,https://www.kaggle.com/igjit1,0,1,7,89,5 years ago,"Tokyo, Tokyo, Japan",2.0,,12,5,935.0,1160.0,Competitions Expert
Pashupati Gupta,1142,expert,https://www.kaggle.com/pashupatigupta,2,2,4,89,5 years ago,"Bengaluru, Karnataka, India",3.0,3.0,9,92,310.0,1162.0,Notebooks Expert
kheti,1143,expert,https://www.kaggle.com/nikhilkhetan,0,2,6,89,5 years ago,"Mumbai, Maharashtra, India",14.0,4.0,10,140,850.0,1148.0,Notebooks Expert
Infrared,1144,expert,https://www.kaggle.com/infrarosso,1,0,5,89,4 years ago,,4.0,,8,24,,1080.0,Notebooks Expert
Lucas See,1145,expert,https://www.kaggle.com/pinstripezebra,0,1,9,89,4 years ago,"Portland, Oregon, United States",7.0,1.0,15,87,926.0,1163.0,Notebooks Expert
Ritwek Khosla,1146,expert,https://www.kaggle.com/vanvalkenberg,0,2,19,89,4 years ago,"Saharanpur, Uttar Pradesh, India",2.0,6.0,65,216,435.0,1164.0,Datasets Expert
Enes FİLİZ,1147,expert,https://www.kaggle.com/enesfiliz,0,0,9,89,3 years ago,,5.0,,11,29,1092.0,1138.0,Notebooks Expert
Yvtsan Levy,1148,expert,https://www.kaggle.com/yvtsanlevy,0,2,12,89,2 years ago,"Tel Aviv-Yafo, Tel Aviv District, Israel",,4.0,21,191,615.0,1167.0,Datasets Expert
Pere Martra,1149,expert,https://www.kaggle.com/peremartramanonellas,0,2,5,89,a year ago,"Barcelona, Catalonia, Spain",3.0,,7,36,1125.0,1128.0,Notebooks Expert
im_AMS,1150,expert,https://www.kaggle.com/imams2000,0,2,10,89,a year ago,"Bengaluru, Karnataka, India",,,12,75,623.0,1172.0,Notebooks Expert
Greshma P K,1151,expert,https://www.kaggle.com/greshmapk,0,0,14,89,a year ago,"Mangaluru, Karnataka, India",1.0,,14,30,841.0,1173.0,Notebooks Expert
Blirind Danjolli,1152,expert,https://www.kaggle.com/blirinddanjolli,0,4,6,89,a year ago,Prizren,,1.0,10,29,684.0,1174.0,Notebooks Expert
Prasad Posture,1153,expert,https://www.kaggle.com/prasadposture121,0,1,7,89,10 months ago,"Mumbai, Maharashtra, India",4.0,2.0,13,33,,1143.0,Notebooks Expert
Mohamed Elsayed,1154,expert,https://www.kaggle.com/andls555,0,2,5,89,9 months ago,"Zagazig, Ash Sharqia Governorate, Egypt",1.0,,8,194,896.0,1155.0,Notebooks Expert
Shujian Liu,1155,master,https://www.kaggle.com/shujian,6,6,12,88,7 years ago,"Boston, Massachusetts, United States",49.0,1.0,24,821,12.0,1157.0,Competitions Master
Waldemar,1156,expert,https://www.kaggle.com/waldemar,0,1,5,88,6 years ago,,5.0,,12,104,989.0,1176.0,Notebooks Expert
harupy,1157,expert,https://www.kaggle.com/harupy,1,2,4,88,5 years ago,"Tokyo, Tokyo, Japan",8.0,,28,35,88.0,1177.0,Notebooks Expert
Pavel Prokhorov,1158,master,https://www.kaggle.com/pavelvpster,1,9,7,88,5 years ago,"Omsk, Omsk Oblast, Russia",12.0,3.0,31,88,165.0,1161.0,Notebooks Master
def me(x),1159,master,https://www.kaggle.com/ruslankl,4,6,3,88,5 years ago,"Magdeburg, Saxony-Anhalt, Germany",1.0,3.0,14,184,77.0,1131.0,Notebooks Master
Bjorn,1160,expert,https://www.kaggle.com/bjoernjostein,0,2,13,88,4 years ago,"Oslo, Oslo, Norway",9.0,31.0,46,221,832.0,1149.0,Datasets Expert
FunkyMonk,1161,expert,https://www.kaggle.com/creepycrap,0,4,9,88,2 years ago,"Faridabad, Haryana, India",2.0,5.0,18,234,344.0,1188.0,Datasets Expert
Zahid Ali,1162,expert,https://www.kaggle.com/zahidmahar,0,1,15,88,2 years ago,"Sadiqabad, Punjab, Pakistan",2.0,7.0,39,297,368.0,1169.0,Datasets Expert
george saavedra,1163,expert,https://www.kaggle.com/georgesaavedra,0,1,8,88,2 years ago,"Santiago, Santiago Metropolitan Region, Chile",,15.0,34,20,710.0,1189.0,Datasets Expert
Tejas Suraj Koundinya,1164,expert,https://www.kaggle.com/tejassurajkoundinya,0,0,10,88,a year ago,"Bengaluru, Karnataka, India",1.0,2.0,10,35,1143.0,1170.0,Notebooks Expert
Fernando SeraQueVence,1165,expert,https://www.kaggle.com/seraquevence,0,1,8,88,a year ago,,6.0,,11,36,998.0,1171.0,Notebooks Expert
Vivek T V,1166,master,https://www.kaggle.com/vivekam101,0,10,0,87,8 years ago,"Kochi, Kerala, India",7.0,1.0,14,619,223.0,1175.0,Notebooks Master
Kuldeep Singh Chouhan,1167,expert,https://www.kaggle.com/kool777,3,2,3,87,4 years ago,"Indore, Madhya Pradesh, India",5.0,4.0,12,75,268.0,1179.0,Notebooks Expert
Vishwas,1168,expert,https://www.kaggle.com/devishu14,0,5,0,87,4 years ago,"Jodhpur, Rajasthan, India",,,5,46,415.0,1180.0,Notebooks Expert
Fatih Bilgin,1169,expert,https://www.kaggle.com/fatihbilgin,5,4,2,87,4 years ago,"Ankara, Ankara, Turkey",,,11,177,86.0,1193.0,Notebooks Expert
Vikas Singh,1170,master,https://www.kaggle.com/vikassingh1996,2,9,9,87,3 years ago,"Bhuj, Gujarat, India",8.0,1.0,28,268,129.0,1165.0,Notebooks Master
Gabriel Prado,1171,expert,https://www.kaggle.com/capiru,3,2,2,87,3 years ago,"Porto Alegre, State of Rio Grande do Sul, Brazil",4.0,2.0,10,97,274.0,1195.0,Notebooks Expert
MT,1172,expert,https://www.kaggle.com/masato114,0,2,4,87,3 years ago,,9.0,3.0,7,12,1150.0,1182.0,Notebooks Expert
mitra mirshafiee,1173,expert,https://www.kaggle.com/mitramir5,0,6,3,87,3 years ago,"Calgary, Alberta, Canada",,4.0,9,118,611.0,1183.0,Datasets Expert
Adnan Pen,1174,expert,https://www.kaggle.com/adnanpen,0,2,5,87,3 years ago,"Banswara, Rajasthan, India",4.0,2.0,12,33,1057.0,1184.0,Notebooks Expert
Antonello Martiello,1175,expert,https://www.kaggle.com/antonellomartiello,0,1,12,87,3 years ago,"Milan, Lombardy, Italy",19.0,,21,38,1101.0,1186.0,Notebooks Expert
Anurag Bantu,1176,expert,https://www.kaggle.com/anuragbantu,1,1,5,87,2 years ago,"Hyderabad, Telangana, India",1.0,4.0,10,152,771.0,1166.0,Datasets Expert
Huynh Dong Nguyen,1177,expert,https://www.kaggle.com/winternguyen,0,6,9,87,2 years ago,"Las Vegas, Nevada, United States",1.0,2.0,18,583,304.0,1198.0,Notebooks Expert
Ayush Ghadiya,1178,expert,https://www.kaggle.com/ghadiyaayush,0,4,5,87,2 years ago,"Anand, Gujarat, India",4.0,3.0,9,61,701.0,1199.0,Notebooks Expert
Tarun R Jain,1179,expert,https://www.kaggle.com/tarundalal,0,0,10,87,a year ago,"Bengaluru, Karnataka, India",2.0,6.0,12,87,1099.0,1190.0,Datasets Expert
Vladislav Kruglikov,1180,expert,https://www.kaggle.com/lildatascientist,1,2,7,87,a year ago,"Moscow, Russia",11.0,1.0,12,8,545.0,1201.0,Notebooks Expert
Piyush Kumar,1181,expert,https://www.kaggle.com/piyushkr303,0,0,9,87,5 months ago,"Sultanpur, Uttar Pradesh, India",,,9,33,1151.0,1156.0,Notebooks Expert
Mr Alamdari,1182,expert,https://www.kaggle.com/mralamdari,0,0,9,87,4 months ago,"Tabriz, East Azerbaijan Province, Iran",,4.0,10,152,1181.0,1204.0,Datasets Expert
Shabareesh Aryan,1183,expert,https://www.kaggle.com/shabareesharyan,0,0,7,87,4 months ago,"Bengaluru, Karnataka, India",2.0,2.0,9,56,,1114.0,Notebooks Expert
致Great,1184,expert,https://www.kaggle.com/quincyqiang,0,3,3,86,6 years ago,"Beijing, Beijing, China",39.0,106.0,17,88,862.0,1192.0,Competitions Master
Manu Siddhartha,1185,expert,https://www.kaggle.com/sid321axn,1,4,14,86,4 years ago,"Kolkata, West Bengal, India",3.0,13.0,39,228,424.0,1178.0,Datasets Expert
903124,1186,expert,https://www.kaggle.com/s903124,0,3,3,86,4 years ago,"Hong Kong, Hong Kong",3.0,7.0,61,53,1095.0,1210.0,Notebooks Expert
Vipul Gandhi,1187,expert,https://www.kaggle.com/vipulgandhi,1,3,11,86,4 years ago,"Pune, Maharashtra, India",4.0,1.0,17,7,166.0,1181.0,Notebooks Expert
DeepUnderstanding,1188,expert,https://www.kaggle.com/mrinath,0,3,10,86,4 years ago,"Guwahati, Assam, India",19.0,4.0,22,915,794.0,1321.0,Competitions Expert
Chun Fu,1189,expert,https://www.kaggle.com/patrick0302,1,2,6,86,4 years ago,"Taipei, Taiwan",12.0,,55,47,487.0,1211.0,Notebooks Expert
Muhammad Umair Aslam,1190,expert,https://www.kaggle.com/umairaslam,0,1,7,86,3 years ago,,,10.0,19,147,1006.0,1212.0,Datasets Expert
Prateek Majumder,1191,expert,https://www.kaggle.com/prateekmaj21,0,0,16,86,3 years ago,"Kolkata, West Bengal, India",,9.0,48,95,728.0,1194.0,Datasets Expert
dustyBun,1192,expert,https://www.kaggle.com/nahidahsan,0,1,7,86,3 years ago,"Dhaka, Dhaka Division, Bangladesh",4.0,,11,49,1036.0,1213.0,Notebooks Expert
Vinayak Shanawad,1193,expert,https://www.kaggle.com/vinayakshanawad,0,3,8,86,3 years ago,"Bengaluru, Karnataka, India",,8.0,14,367,657.0,1214.0,Datasets Expert
Harsha Varshney,1194,expert,https://www.kaggle.com/harshavarshney,0,1,14,86,2 years ago,"Greater Noida, Uttar Pradesh, India",,6.0,42,107,335.0,1216.0,Datasets Expert
Siddhesh Sawant,1195,expert,https://www.kaggle.com/siddheshera,1,5,3,86,2 years ago,"Navi Mumbai, Maharashtra, India",1.0,1.0,13,353,345.0,1217.0,Notebooks Expert
Said Azizov,1196,expert,https://www.kaggle.com/michaelcripman,0,0,12,86,2 years ago,"Moscow, Russia",,1.0,16,82,1142.0,1168.0,Notebooks Expert
Sagar Bapodara,1197,expert,https://www.kaggle.com/sagarbapodara,0,5,0,86,2 years ago,"Ahmedabad, Gujarat, India",,1.0,5,178,878.0,1219.0,Notebooks Expert
Abhijeet Deshmukh,1198,expert,https://www.kaggle.com/sarabhian,0,4,2,86,a year ago,"Pune, Maharashtra, India",4.0,2.0,9,115,716.0,1220.0,Notebooks Expert
Muthu Palaniappan925,1199,expert,https://www.kaggle.com/muthupalaniappan925,0,0,10,86,a year ago,"Chennai, Tamil Nadu, India",,3.0,17,34,974.0,1200.0,Notebooks Expert
Saumil Agrawal,1200,expert,https://www.kaggle.com/saumilagrawal10,0,1,11,86,a year ago,,11.0,7.0,13,123,1175.0,1202.0,Notebooks Expert
Sreelal H,1201,expert,https://www.kaggle.com/sreelalh,0,3,3,86,a year ago,"Thiruvananthapuram, Kerala, India",,3.0,6,44,906.0,1203.0,Datasets Expert
Bruno G. do Amaral,1202,master,https://www.kaggle.com/bguberfain,6,7,16,85,8 years ago,"Rio de Janeiro, State of Rio de Janeiro, Brazil",34.0,3.0,76,153,13.0,1206.0,Notebooks Master
Raman,1203,expert,https://www.kaggle.com/samusram,2,5,5,85,7 years ago,"Prague, Prague, Czechia",18.0,16.0,15,256,165.0,1207.0,Competitions Expert
Dave E,1204,expert,https://www.kaggle.com/davidedwards1,1,1,11,85,7 years ago,,21.0,9.0,16,184,508.0,1191.0,Competitions Expert
SeshuRajuP 🧘‍♂️,1205,expert,https://www.kaggle.com/seshurajup,0,3,6,85,6 years ago,"Hyderabad, Telangana, India",91.0,14.0,20,463,1087.0,1208.0,Competitions Expert
MichaelMayer,1206,expert,https://www.kaggle.com/mayer79,4,2,4,85,6 years ago,"Bern, Canton of Bern, Switzerland",16.0,,10,83,105.0,1226.0,Competitions Expert
Nick Potter,1207,expert,https://www.kaggle.com/nnjjpp,0,1,8,85,5 years ago,"Canberra, Australian Capital Territory, Australia",8.0,1.0,18,43,1140.0,1228.0,Notebooks Expert
dingyan,1208,expert,https://www.kaggle.com/dingyan,0,2,5,85,5 years ago,,7.0,5.0,12,18,1024.0,1025.0,Notebooks Expert
Muhammad Navaid,1209,expert,https://www.kaggle.com/mnavaidd,0,7,7,85,5 years ago,"Karachi, Sindh, Pakistan",3.0,5.0,18,392,305.0,1229.0,Datasets Expert
Awaldeep Singh,1210,expert,https://www.kaggle.com/awaldeep,0,2,4,85,5 years ago,"Gurugram, Haryana, India",13.0,,14,10,986.0,1209.0,Notebooks Expert
Jake,1211,expert,https://www.kaggle.com/jakelj,2,1,4,85,4 years ago,"Reading, England, United Kingdom",5.0,1.0,9,109,382.0,1230.0,Notebooks Expert
Digvijay Yadav,1212,expert,https://www.kaggle.com/digvijayyadav,1,3,18,85,3 years ago,"Taipei, Taiwan",9.0,2.0,51,312,180.0,1233.0,Notebooks Expert
Ozlem Ilgun Cagirici,1213,expert,https://www.kaggle.com/ozlemilgun,0,4,3,85,2 years ago,"İstanbul, İstanbul, Turkey",1.0,3.0,7,18,645.0,1215.0,Notebooks Expert
Madhuri P,1214,expert,https://www.kaggle.com/madhuri15,0,1,6,85,2 years ago,,6.0,1.0,20,13,1133.0,1187.0,Notebooks Expert
Daniele Baldoni,1215,expert,https://www.kaggle.com/danielebaldoni,0,3,8,85,2 years ago,"Rome, Lazio, Italy",3.0,4.0,16,140,938.0,1235.0,Notebooks Expert
Anjali S Rajan,1216,expert,https://www.kaggle.com/anjalisrajan,0,4,7,85,2 years ago,"Thiruvananthapuram, Kerala, India",2.0,1.0,11,176,710.0,1237.0,Notebooks Expert
LucifierX,1217,expert,https://www.kaggle.com/lucifierx,0,1,8,85,a year ago,,3.0,5.0,7,199,1114.0,1221.0,Datasets Expert
Lost in worlds,1218,expert,https://www.kaggle.com/lostinworlds,0,0,7,85,10 months ago,"London, England, United Kingdom",1.0,5.0,21,199,1104.0,1222.0,Datasets Expert
YouHan Lee,1219,master,https://www.kaggle.com/youhanlee,5,9,16,84,5 years ago,"Seongnam-si, Gyeonggi-do, South Korea",47.0,,40,558,36.0,1227.0,Competitions Grandmaster
Vlad Vaduva,1220,expert,https://www.kaggle.com/vladvdv,2,2,1,84,3 years ago,"Bucharest, Bucharest, Romania",19.0,1.0,5,454,761.0,1231.0,Discussion Master
Pradnesh Lachake,1221,expert,https://www.kaggle.com/pradneshlachake,0,2,4,84,3 years ago,"Gurugram, Haryana, India",,,6,120,1089.0,1248.0,Notebooks Expert
Varshini PJ,1222,expert,https://www.kaggle.com/varshinipj,0,4,4,84,3 years ago,"Coimbatore, Tamil Nadu, India",5.0,1.0,8,88,890.0,1197.0,Notebooks Expert
Yash Saxena,1223,expert,https://www.kaggle.com/yashsaxena17,0,5,6,84,3 years ago,"Jaipur, Rajasthan, India",1.0,,11,48,436.0,1234.0,Notebooks Expert
Bibhabasu Mohapatra,1224,expert,https://www.kaggle.com/bibhabasumohapatra,0,0,15,84,2 years ago,"Ahmedabad, Gujarat, India",25.0,13.0,54,156,1186.0,1250.0,Notebooks Expert
Awwal Malhi,1225,expert,https://www.kaggle.com/awwalmalhi,2,3,2,84,2 years ago,"Toronto, Ontario, Canada",4.0,2.0,7,179,340.0,1236.0,Notebooks Expert
Akshay r,1226,expert,https://www.kaggle.com/akshayr009,0,0,8,84,2 years ago,,14.0,6.0,40,48,1166.0,1218.0,Notebooks Expert
Mohand Amr,1227,expert,https://www.kaggle.com/mohandamr,0,1,5,84,2 years ago,,,,6,126,1207.0,1238.0,Notebooks Expert
Muj!rush!,1228,expert,https://www.kaggle.com/mujrush,0,1,7,84,2 years ago,"Tokyo, Tokyo, Japan",20.0,1.0,14,45,1223.0,1253.0,Competitions Expert
Ashini B,1229,expert,https://www.kaggle.com/kriothekaizoku,0,0,7,84,a month ago,"Pune, Maharashtra, India",1.0,,7,11,1196.0,1225.0,Notebooks Expert
Ant 🐜,1230,expert,https://www.kaggle.com/superant,2,3,14,83,10 years ago,"Munich, Bavaria, Germany",19.0,2.0,25,590,276.0,1242.0,Competitions Master
Human Analog,1231,expert,https://www.kaggle.com/humananalog,5,1,1,83,7 years ago,"Breda, North Brabant, Netherlands",6.0,2.0,8,387,86.0,1243.0,Notebooks Expert
The Nam,1232,expert,https://www.kaggle.com/namgalielei,0,3,2,83,5 years ago,"Hanoi, Hanoi, Vietnam",23.0,21.0,27,130,834.0,1244.0,Competitions Master
Asha Gutlapalli,1233,expert,https://www.kaggle.com/ashagutlapalli,1,4,0,83,4 years ago,"Chennai, Tamil Nadu, India",,,5,156,388.0,1260.0,Notebooks Expert
Emin Kazdaloğlu,1234,expert,https://www.kaggle.com/legendsoul,0,1,9,83,3 years ago,"İstanbul, İstanbul, Turkey",8.0,,16,30,1089.0,1261.0,Notebooks Expert
Convophile,1235,expert,https://www.kaggle.com/vineeth1999,1,1,11,83,3 years ago,"Chennai, Tamil Nadu, India",37.0,14.0,27,169,328.0,1245.0,Competitions Expert
Aman Miglani,1236,expert,https://www.kaggle.com/datatattle,2,3,4,83,3 years ago,"Delhi, Delhi, India",1.0,9.0,9,177,308.0,1247.0,Datasets Expert
Paulo Junqueira,1237,expert,https://www.kaggle.com/paulojunqueira,0,1,8,83,3 years ago,"Belo Horizonte, State of Minas Gerais, Brazil",2.0,1.0,12,92,1112.0,1263.0,Notebooks Expert
tscheung,1238,expert,https://www.kaggle.com/tscheung,0,1,5,83,3 years ago,,13.0,23.0,9,13,1216.0,1232.0,Notebooks Expert
Satyabrata Roy,1239,expert,https://www.kaggle.com/satyabrataroy,0,3,4,83,2 years ago,"Kolkata, West Bengal, India",2.0,1.0,8,142,734.0,1266.0,Notebooks Expert
WCW200036,1240,expert,https://www.kaggle.com/justicevil,0,2,3,83,2 years ago,"Hong Kong, Hong Kong",,,5,59,1196.0,1267.0,Notebooks Expert
Advik Maniar,1241,expert,https://www.kaggle.com/advikmaniar,0,6,6,83,2 years ago,"Mumbai, Maharashtra, India",1.0,4.0,12,221,410.0,1268.0,Notebooks Expert
Ashvanth s,1242,expert,https://www.kaggle.com/ashvanths,0,1,6,83,a year ago,"Chennai, Tamil Nadu, India",3.0,2.0,8,115,1216.0,1269.0,Notebooks Expert
Ebrahim Haque Bhatti,1243,expert,https://www.kaggle.com/ebrahimhaquebhatti,0,3,7,83,a year ago,,15.0,4.0,10,180,839.0,1255.0,Datasets Expert
Shray Garg,1244,expert,https://www.kaggle.com/zwartfreak,0,1,8,83,10 months ago,"Kanpur, Uttar Pradesh, India",3.0,6.0,16,80,853.0,1270.0,Datasets Expert
Nguyen Ngoc Phung,1245,expert,https://www.kaggle.com/nguyenngocphung,0,1,7,83,10 months ago,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",,8.0,12,59,850.0,1256.0,Datasets Expert
CHEN Han,1246,expert,https://www.kaggle.com/concyclics,0,1,10,83,9 months ago,"Guangzhou, Guangdong Province, China",16.0,19.0,30,32,964.0,1223.0,Datasets Expert
Rimmel Asghar,1247,expert,https://www.kaggle.com/rimmelasghar,0,2,5,83,7 months ago,"Karachi, Sindh, Pakistan",,,7,55,1069.0,1257.0,Notebooks Expert
Zeeshan-ul-hassan Usmani,1248,expert,https://www.kaggle.com/zusmani,0,5,13,82,6 years ago,"Princeton, New Jersey, United States",11.0,38.0,37,421,66.0,1258.0,Datasets Grandmaster
Zafar,1249,expert,https://www.kaggle.com/fizzbuzz,2,2,7,82,6 years ago,"New Delhi, Delhi, India",7.0,9.0,35,55,19.0,1272.0,Notebooks Expert
yulia,1250,expert,https://www.kaggle.com/yuliagm,3,1,1,82,5 years ago,"Markham, Ontario, Canada",4.0,,5,123,921.0,1259.0,Notebooks Expert
Hiram Coria 🧬,1251,expert,https://www.kaggle.com/hiramcho,1,1,3,82,4 years ago,"Acapulco, Guerrero, Mexico",11.0,1.0,14,448,1147.0,1275.0,Notebooks Expert
Massock Batalong Maurice Blaise,1252,expert,https://www.kaggle.com/lumierebatalong,0,2,16,82,3 years ago,"Yaoundé, Centre, Cameroon",4.0,5.0,36,208,545.0,1276.0,Notebooks Expert
